1.,http://product.dangdang.com/23305535.html,刘墉给孩子的成长书,刘墉,2013-07-29,接力出版社,133434条评论
2.,http://product.dangdang.com/23555428.html,郑渊洁给孩子的励志书,郑渊洁,2014-09-15,天津人民出版社,64240条评论
3.,http://product.dangdang.com/23668468.html,做最富足的自己（歪歪兔财商教育童话，全10册）,歪歪兔关键期早教项目组,2015-05-01,海豚出版社,66644条评论
4.,http://product.dangdang.com/23977156.html,毕淑敏给孩子的心灵成长书（全6册）,毕淑敏,2016-06-01,广西师范大学出版社,29746条评论
5.,http://product.dangdang.com/22468968.html,写给孩子的哲学启蒙书（全六册）,拉贝,2011-07-01,广西师范大学出版社,55791条评论
6.,http://product.dangdang.com/23925181.html,绽放自我――歪歪兔生命教育童话（培养孩子独立思考的能力）,吉葡乐,2016-05-01,海豚出版社,25087条评论
7.,http://product.dangdang.com/23232077.html,妈妈，钱是什么？（全6册）,格里・贝利,2013-04-01,贵州教育出版社,42102条评论
8.,http://product.dangdang.com/25259950.html,小狗钱钱套装（全2册）,博多・舍费尔,2018-04-01,四川少儿出版社,102716条评论
9.,http://product.dangdang.com/25349751.html,成长吧，少年：给孩子的心理指南书 (全16册，附赠成长笔记本。如何与同学、父母相处，远离手机，缓解压力，增强自信。让孩子更好成长),斯蒂芬・克莱尔热,2018-10-01,光明日报出版社,3642条评论
10.,http://product.dangdang.com/25260377.html,挫折万岁（全6册）（新版）,宫川比吕,2018-05-01,长江少年儿童出版社,19959条评论
11.,http://product.dangdang.com/25280539.html,孩子你在想什么――15堂极简哲学课（全15册，探讨了关于朋友、钱、真实、死亡等话题，解决孩子成长的烦恼，做内心强大的自己）,艾唐・伯瑞茨,2018-06-30,湖南少年儿童出版社,2939条评论
12.,http://product.dangdang.com/24004288.html,小狗钱钱套装（全两册）,博多・舍费尔,2014-03-01,四川少儿出版社,35542条评论
13.,http://product.dangdang.com/20093876.html,为你自己读书,肖卫,2007-12-01,中国华侨,120527条评论
14.,http://product.dangdang.com/23464270.html,刘墉给孩子的成长书(第二辑，共5册),刘墉,2014-06-01,接力出版社,29708条评论
15.,http://product.dangdang.com/23696777.html,爱上哲学（共10册）,严・马尔尚,2015-06-01,浙江少年儿童出版社,9637条评论
16.,http://product.dangdang.com/23735425.html,孩子，先别急着吃棉花糖+孩子，假如你吃了棉花糖,乔辛迪波沙达,2015-07-01,青岛出版社,30767条评论
