1.,http://product.dangdang.com/23248697.html,小猪佩奇（全10册）,英国快乐瓢虫出版公司,2013-05-01,安徽少年儿童出版社,276725条评论
2.,http://product.dangdang.com/23486981.html,淘气包马小跳漫画升级版（第一辑套装全十册）,杨红樱,2014-06-01,安徽少年儿童出版社,105377条评论
3.,http://product.dangdang.com/23486982.html,淘气包马小跳漫画升级版（第二辑套装全十册）,杨红樱,2014-05-01,安徽少年儿童出版社,80394条评论
4.,http://product.dangdang.com/24240099.html,汪汪队立大功儿童安全救援故事书 全10册（中国儿童必备安全救援故事书！）,美国尼克儿童频道,2017-03-01,天地出版社,104898条评论
5.,http://product.dangdang.com/23976685.html,米小圈漫画成语（套装共4册）,北猫,2016-05-01,四川少儿出版社,198658条评论
6.,http://product.dangdang.com/25303987.html,彩色连环画中国历史（第一辑，1-10册）,孟庆江,2018-07-01,贵州教育出版社,8100条评论
7.,http://product.dangdang.com/25119381.html,小猪佩奇 “我有好习惯” 行为引导系列 绘本礼盒（全10册 洗澡也能看的书）,文圣教育,2017-06-01,浙江少年儿童出版社,60510条评论
8.,http://product.dangdang.com/23790747.html,海底小纵队探险记（全10册）,英国Vampire,2015-09-01,长江少年儿童出版社,92649条评论
9.,http://product.dangdang.com/23288237.html,三毛流浪记全集（彩图注释版）,张乐平,2013-06-01,少年儿童出版社,51345条评论
10.,http://product.dangdang.com/21022011.html,巴巴爸爸（全10册）,缇森,2010-01-01,接力出版社,145954条评论
11.,http://product.dangdang.com/24039541.html,迪士尼流利阅读 1-8合辑（冰雪奇缘、疯狂动物城、超能陆战队、海底1、斑比、头脑、海底2、恐龙当家）,迪士尼公司,2016-05-01,人民邮电出版社,32843条评论
12.,http://product.dangdang.com/25220446.html,大中华寻宝记系列（1-20） 我的第一本科学漫画书,孙家裕,2018-01-01,二十一世纪出版社,7583条评论
13.,http://product.dangdang.com/24171265.html,小猪佩奇礼品装（内含故事书20册+佩奇、乔治正版玩偶）,英国快乐瓢虫出版公司,2017-01-01,安徽少年儿童出版社,34429条评论
14.,http://product.dangdang.com/25193289.html,酷虫学校昆虫科普知识漫画（共36册）,吴祥敏,2017-12-05,接力出版社,8277条评论
15.,http://product.dangdang.com/23957473.html,小猪佩奇动画故事书（第2辑）（10册套装）,英国快乐瓢虫出版公司,2016-05-01,安徽少年儿童出版社,106732条评论
