1.,http://product.dangdang.com/25062481.html,诺奖少年版（全套30册）2018当当童书畅销书，日销售ZUI高达50000册，系列销量突破3500000册。含新课标书目,海明威,2017-04-01,辽宁少年儿童出版社,282953条评论
2.,http://product.dangdang.com/23580693.html,哈利・波特 （全集1-7册）全新版套装中文版,J.K.罗琳,2014-11-01,人民文学出版社,165316条评论
3.,http://product.dangdang.com/25099944.html,小读客・梅格时空大冒险（套装全5册）（含《时间的折皱》[又名《时间的皱折》《时间的皱纹》]、《银河的裂缝》等）,马德琳・英格,2017-07-01,文汇出版社,143372条评论
4.,http://product.dangdang.com/20481551.html,国际大奖小说系列（共53册）,卡尔森,2005-01-01,新蕾出版社（天津）有限公司（当当书友会）,74732条评论
5.,http://product.dangdang.com/21085963.html,神奇校车・阅读版（全16册）,乔安娜柯尔,2011-06-01,贵州人民出版社,246125条评论
6.,http://product.dangdang.com/23375954.html,玛蒂娜故事书（全新版）,�岳逞盼�,2013-12-01,贵州教育出版社,59285条评论
7.,http://product.dangdang.com/23950912.html,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”）,英格丽,2016-06-01,江苏教育出版社,97951条评论
8.,http://product.dangdang.com/23975315.html,罗尔德・达尔作品典藏（13本套装）,罗尔德・达尔,2014-07-04,明天出版社,120597条评论
9.,http://product.dangdang.com/23963837.html,小屁孩日记（1-20）平装套装,杰夫・金尼�M,2016-06-01,新世纪出版社,41277条评论
10.,http://product.dangdang.com/23301970.html,柳林风声,肯尼斯格雷厄姆,2013-08-01,贵州人民出版社,111006条评论
11.,http://product.dangdang.com/23578711.html,世界第一少年侦探团（第一辑全5册套装）,伊妮德布莱顿,2014-10-01,北京联合出版公司,66113条评论
12.,http://product.dangdang.com/23177807.html,窗边的小豆豆套装（全六册）,黑柳彻子,2012-11-01,南海出版公司,162771条评论
13.,http://product.dangdang.com/23953205.html,荒野求生少年生存小说系列（贝尔授权签名本，全9册）,贝尔・格里尔斯,2016-05-04,接力出版社,47179条评论
14.,http://product.dangdang.com/8964881.html,安徒生童话全集（200周年超级典藏本）,安徒生,2005-01-01,浙江少年儿童出版社,42666条评论
15.,http://product.dangdang.com/22923244.html,猫头鹰王国套装（共15册）,拉丝基,2009-09-01,湖北少儿出版社,28880条评论
16.,http://product.dangdang.com/23454155.html,小淘气尼古拉的故事全集（全11册）,勒内・戈西尼,2014-05-01,中国少年儿童出版社,45330条评论
17.,http://product.dangdang.com/20810568.html,安房直子幻想小说系列（共6册）,安房直子,2010-06-01,少年儿童出版社,91570条评论
18.,http://product.dangdang.com/22474387.html,纳尼亚传奇(全辑共7册),刘易斯,2011-08-01,译林出版社,107776条评论
19.,http://product.dangdang.com/22534125.html,我爱阅读桥梁书：黄色系列1辑+2辑（全40册）,克里斯蒂娜・帕吕伊,2011-01-01,广州出版社,50638条评论
20.,http://product.dangdang.com/22541581.html,我爱阅读桥梁书：红色40册1辑+2辑（全40册）,拉沙,2011-11-08,广州出版社,34472条评论
21.,http://product.dangdang.com/23546266.html,夏洛的网（新）,怀特,2014-08-01,上海译文出版社,564352条评论
22.,http://product.dangdang.com/23451558.html,人文第一课 最美的民间故事（全4册）,肖莎娜,2014-04-01,湖南少年儿童出版社,40522条评论
23.,http://product.dangdang.com/20999128.html,窗边的小豆豆,黑柳彻子,2011-01-01,南海出版公司,755554条评论
24.,http://product.dangdang.com/21121570.html,神奇校车人文版（共3册）,乔安娜柯尔,2011-07-01,贵州人民出版社,129706条评论
25.,http://product.dangdang.com/24242339.html,爱的朗读・诗与故事（全3册，曹文轩推荐，中英双语朗读莎士比亚等巨匠经典诗作，每一位父母都是爱的朗读者。赠全彩英文原诗，扫码免费听）,杰姬・莫里斯,2017-04-01,湖南少年儿童出版社,15090条评论
