1.,http://product.dangdang.com/25171016.html,培生幼儿英语：预备级（升级版）,培生集团,2017-11-01,湖北少儿出版社,307556条评论
2.,http://product.dangdang.com/25280354.html,蒲公英・英语拼读王（全12册+9CD＋6DVD光盘）,林素娥,2018-05-24,贵州人民出版社,91625条评论
3.,http://product.dangdang.com/22807661.html,我的第一套自然拼读故事书（全81册 中英双语）,诺拉・盖多斯,2012-07-01,连环画出版社,75217条评论
4.,http://product.dangdang.com/25171014.html,培生幼儿英语：基础级（升级版）,培生集团,2017-10-01,湖北少儿出版社,73899条评论
5.,http://product.dangdang.com/25067477.html,培生英语・阅读街：幼儿版K1(幼儿园小班适用)――美国幼儿园语言启蒙教材,美国培生教育出版集团,2017-05-01,中国宇航出版社,48217条评论
6.,http://product.dangdang.com/23985513.html,I CAN READ 经典双语阅读绘本,梅瑟・迈尔,2016-07-01,湖南少年儿童出版社,37586条评论
7.,http://product.dangdang.com/25069619.html,英语单词大书 ：Big Book of English Words,梅丽・麦金农,2017-07-01,北京联合出版公司,59633条评论
8.,http://product.dangdang.com/25219351.html,培生幼儿英语第二辑・预备级（升级版）,莫伊拉・安德鲁,2018-02-22,长江少年儿童出版社,36632条评论
9.,http://product.dangdang.com/23588073.html,我的第一本英语发声词典-迪士尼英语家庭版,迪士尼艺术组,2014-06-01,陕西人民教育出版社,41343条评论
10.,http://product.dangdang.com/25199739.html,丽声我的第一套自然拼读故事书第一级至第五级套装(点读版配MP3)(专供),Lynn,2017-11-22,外语教学与研究出版社,3964条评论
11.,http://product.dangdang.com/25204370.html,外研社丽声拼读故事会第一级至第六级套装(英语分级阅读)(点读版配光盘)(专供),朱莉娅・唐纳森,2011-06-01,外语教学与研究出版社,30457条评论
12.,http://product.dangdang.com/22455937.html,外研社丽声拼读故事会 第一级至第六级套装（可点读）（配CD-Rom电脑驱动光盘）（享誉世界的牛津阅读树系列产品之一）,Julia,2011-06-01,外语教学与研究出版社,25727条评论
13.,http://product.dangdang.com/25219349.html,培生幼儿英语第二辑・基础级（升级版）,培生,2018-01-01,长江少年儿童出版社,14996条评论
