1.,http://product.dangdang.com/20948886.html,美国经典专注力培养大书 （全8册）,Highlights杂志社,2013-07-01,湖南少年儿童出版社,230725条评论
2.,http://product.dangdang.com/9284655.html,斯凯瑞金色童书・第一辑（全4册）,斯凯瑞,2007-05-01,贵州人民出版社,397999条评论
3.,http://product.dangdang.com/20029105.html,I SPY视觉大发现（第一辑，共8册),维克,2007-09-01,接力出版社,127727条评论
4.,http://product.dangdang.com/20910676.html,斯凯瑞金色童书超级礼盒装,理查德・斯凯瑞,2010-09-01,贵州人民出版社,36575条评论
5.,http://product.dangdang.com/23471719.html,让孩子痴迷的创意思维游戏（共2册）,凯特,2014-05-01,光明日报出版社,37477条评论
6.,http://product.dangdang.com/23643320.html,英国脑力阶梯训练（全三册）,亚历克斯・弗里思,2015-01-01,天天出版社有限责任公司,70359条评论
7.,http://product.dangdang.com/23825184.html,美国经典专注力培养大书（进阶版）（全6册）,Highlight杂志社,2015-12-10,湖南少年儿童出版社,33977条评论
8.,http://product.dangdang.com/23473370.html,美国经典学习能力培养大书（全12册）,美国Highlights杂志社,2014-05-01,湖南少年儿童出版社,27933条评论
9.,http://product.dangdang.com/23231627.html,I SPY视觉大发现（第一辑+第二辑套装16册）,吉恩・玛佐洛,2013-01-01,接力出版社,14976条评论
10.,http://product.dangdang.com/23723384.html,全脑开发聪明贴纸书3-4岁（全六册）,袋鼠妈妈童书,2015-06-01,江西美术出版社,79148条评论
11.,http://product.dangdang.com/23755858.html,超级纸飞机(全2册+随书附赠136张迷彩纸飞机素材纸）,肯・布莱克布恩,2015-08-01,新星出版社,12546条评论
12.,http://product.dangdang.com/23279782.html,贴进大自然系列（全6册）,奥林维娅・科斯纳,2013-04-01,未来出版社,50212条评论
13.,http://product.dangdang.com/23229890.html,专注力训练系列・找不同（全六册）,真果果,2013-04-01,中国人口出版社,94583条评论
14.,http://product.dangdang.com/23464503.html,奇趣脑力大挑战（全6册）,Usborne出版社,2014-05-01,连环画出版社,18867条评论
15.,http://product.dangdang.com/21097059.html,数学游戏绘本・第一辑（8册）,中野弘隆,2011-07-01,新蕾出版社,53133条评论
16.,http://product.dangdang.com/23474422.html,玛蒂娜贴纸书（共42册）,马里耶,2014-04-01,贵州教育出版社,5695条评论
17.,http://product.dangdang.com/23878838.html,米小圈脑筋急转弯（套装共4册）,北猫,2016-01-01,四川少儿出版社,208837条评论
18.,http://product.dangdang.com/23953074.html,MAMOKO妈妈看！（全3册）,亚历山德拉・米热林斯卡,2016-05-01,未来出版社,9724条评论
19.,http://product.dangdang.com/23723385.html,全脑开发聪明贴纸书2-3岁（全六册）,袋鼠妈妈童书,2015-06-01,江西美术出版社,69666条评论
20.,http://product.dangdang.com/20910678.html,斯凯瑞金色童书 益智游戏（全3册）,理查德斯凯瑞,2010-09-01,贵州人民出版社,48324条评论
21.,http://product.dangdang.com/20001316.html,斯凯瑞金色童书・第二辑（全2册）,斯凯瑞,2007-09-01,贵州人民出版社,75777条评论
22.,http://product.dangdang.com/23790673.html,英国脑力阶梯训练: 故事版・第1辑（全8册）,苏珊娜・利,2015-10-01,天天出版社有限责任公司,20338条评论
23.,http://product.dangdang.com/23248814.html,与大师一起艺术创想系列（全14册）,菲奥娜・沃特,2013-01-01,天天出版社,10021条评论
24.,http://product.dangdang.com/20789681.html,我来贴（1-3岁，共6册）,博伊斯纳德,2014-01-12,新世界出版社,64602条评论
25.,http://product.dangdang.com/22650529.html,数独合集（共6册）,谢道台,2011-06-01,天天出版社,43253条评论
26.,http://product.dangdang.com/23784491.html,和老爸一起动手酷发明,斯科特贝德福德,2015-09-01,南海出版公司,8237条评论
27.,http://product.dangdang.com/23614773.html,杜噜嘟嘟（精装全四册）,埃尔维杜莱,2014-12-01,重庆出版社,10919条评论
28.,http://product.dangdang.com/23165906.html,I SPY视觉大发现  第二辑 （全8册）,沃尔特维克,2013-11-10,接力出版社,11158条评论
29.,http://product.dangdang.com/23393433.html,真果果记忆力训练（全6册）,真果果,2013-12-19,中国人口出版社,21159条评论
30.,http://product.dangdang.com/23273064.html,托马斯和朋友早教贴纸书（套装4册）,童趣出版有限公司,2013-06-01,人民邮电出版社,14675条评论
31.,http://product.dangdang.com/23487421.html,125游戏提升孩子专注力（第1辑，共3册）,许正典,2014-05-01,青岛出版社,19795条评论
32.,http://product.dangdang.com/22886420.html,我来贴（3-5岁套装，共24册）,安妮特博伊斯纳德,2012-10-01,新世界出版社,12599条评论
33.,http://product.dangdang.com/22591093.html,专注力训练（全6册）,真果果,2012-02-01,中国人口出版社,38416条评论
34.,http://product.dangdang.com/23543377.html,经典版图画捉迷藏（全4册）,童光萃集出版社,2014-09-01,北京科学技术出版社,18056条评论
35.,http://product.dangdang.com/24040304.html,神奇的专注力训练游戏书(全四册),贝基・威尔逊,2016-10-01,贵州教育出版社,52110条评论
36.,http://product.dangdang.com/23557324.html,数学游戏绘本（1-3合辑，共29册）,中村景儿,2014-09-01,新蕾出版社,2534条评论
37.,http://product.dangdang.com/23756141.html,地板书套装（1-4册）,本杰明贝索,2015-06-01,重庆出版社,2563条评论
38.,http://product.dangdang.com/23194161.html,米奇妙妙屋 益智游戏互动启蒙故事 （套装12册）,美国迪士尼公司,2010-08-01,人民邮电出版社,8806条评论
39.,http://product.dangdang.com/9284654.html,轱辘轱辘转,斯凯瑞,2007-06-01,贵州人民出版社,82989条评论
40.,http://product.dangdang.com/23616603.html,威利在哪里？（平装版，全5册）,马丁・汉德福特,2015-01-01,新星出版社,5383条评论
41.,http://product.dangdang.com/22808237.html,数学游戏绘本・第二辑（10册）,山本和子,2012-07-01,新蕾出版社,10548条评论
42.,http://product.dangdang.com/23734139.html,公文式教育：最益智的迷宫书套装（全3册）（5-6岁）,日本公文出版,2015-08-01,中国民族摄影艺术出版社,19204条评论
43.,http://product.dangdang.com/23398668.html,给孩子的艺术创意大书（全8册）,科斯诺,2014-01-01,湖南少年儿童出版社,5626条评论
44.,http://product.dangdang.com/23523084.html,3-6岁综合能力开发趣味贴纸书(套装共6册),智趣文化,2014-08-01,文心出版社,12313条评论
45.,http://product.dangdang.com/23851574.html,杜噜嘟嘟的魔法游戏书系列,埃尔维・杜莱,2016-03-01,光明日报出版社,5073条评论
46.,http://product.dangdang.com/23346919.html,益智游戏大集合！迷宫大冒险 大家来找茬 图画捉迷藏 趣味找找看,中迫和彦,2013-10-01,南海出版公司,31251条评论
47.,http://product.dangdang.com/22802161.html,园长教你做  60款亲子入门折纸,川并知子,2012-06-01,河南科学技术出版社,23588条评论
48.,http://product.dangdang.com/23898421.html,培养酷帅男孩的1500个贴纸-运动篇,西蒙图德普,2016-01-01,陕西人民教育出版社,2330条评论
49.,http://product.dangdang.com/22908005.html,改善视力提升注意力3D益智游戏（1、2辑套装，共10册）,德永贵久,2012-11-01,南海出版社,5516条评论
50.,http://product.dangdang.com/23813984.html,我是创作家（共两册）,梅根库里斯,2015-11-01,天天出版社,6476条评论
51.,http://product.dangdang.com/23795358.html,英国幼儿经典全景贴纸书（交通工具+动物主题，全6册）,塔普林,2015-11-01,接力出版社,2081条评论
52.,http://product.dangdang.com/23557522.html,何秋光思维训练・4-5岁儿童数学游戏（全四册）,何秋光,2014-08-01,接力出版社,4870条评论
53.,http://product.dangdang.com/23826761.html,学前专注力训练500题 （套装共4册）,薛月英,2016-01-01,化学工业出版社,6774条评论
54.,http://product.dangdang.com/23903142.html,图画捉迷藏・2016精华版（全2册）,童光萃集出版社,2016-01-01,北京科学技术出版社,4681条评论
55.,http://product.dangdang.com/23915373.html,迪士尼・疯狂动物城益智创想嘉年华,美国迪士尼公司,2016-03-05,中信出版社,2696条评论
56.,http://product.dangdang.com/23475620.html,小快活卡由幼儿逆反期智能全开发,Chouette,2014-06-01,人民邮电出版社,2442条评论
57.,http://product.dangdang.com/23754075.html,幼儿启蒙知识库认知贴纸书第2辑,希尔维米希,2015-09-01,未来出版社,12186条评论
58.,http://product.dangdang.com/23645479.html,真果果推理力训练（全六册）,真果果,2015-01-01,中国人口出版社,7046条评论
59.,http://product.dangdang.com/23677898.html,儿童专注力训练游戏书 找不同・连线・迷宫・找一找・捉迷藏 (套装共5册),智趣文化,2015-04-01,文心出版社,9981条评论
60.,http://product.dangdang.com/23193279.html,谜语大王--儿童谜语大全,武冀平,2013-03-01,化学工业出版社,24832条评论
61.,http://product.dangdang.com/23452744.html,观察力训练（全六册）,真果果,2014-03-01,中国人口出版社,7049条评论
62.,http://product.dangdang.com/22514297.html,让孩子痴迷的趣味科学游戏,吉尔平,2012-04-01,中国城市出版社,43808条评论
63.,http://product.dangdang.com/23220306.html,3Q潜能开发贴纸游戏（6册套装）――（2～3岁）米奇妙妙屋,童趣出版有限公司,2013-04-01,人民邮电出版社,7394条评论
64.,http://product.dangdang.com/23775768.html,今晚七点半，我家的游戏是数学（彩色套装，共4册）,曲少云,2015-10-01,电子工业出版社,5592条评论
65.,http://product.dangdang.com/23533761.html,让孩子痴迷的纸飞机（全2册 ）,Usborne出版社,2014-09-01,光明日报出版社,6716条评论
66.,http://product.dangdang.com/23238425.html,3Q潜能开发贴纸游戏（6册套装）――（4～5岁）赛车总动员,童趣出版有限公司,2013-05-03,人民邮电出版社,4999条评论
67.,http://product.dangdang.com/21026704.html,新概念幼儿情景认知绘本（全10册）,哈里斯,2011-02-01,明天出版社,9520条评论
68.,http://product.dangdang.com/23343276.html,幼儿全能力游戏绘本（全3册）――亲子共读幼儿启智绘本，以游戏的方式，全面培养幼儿能力（蒲公英童书馆出品）,日本学研社,2013-10-01,贵州人民出版社,3666条评论
69.,http://product.dangdang.com/23629986.html,保卫萝卜・专注力游戏（共5册),幼儿画报,2015-01-01,中国少年儿童出版社,5190条评论
70.,http://product.dangdang.com/23522648.html,数学游戏绘本・第三辑（共11册）,岗本一郎,2014-09-01,新蕾出版社,4253条评论
71.,http://product.dangdang.com/23246632.html,让孩子痴迷的创意思维游戏,凯特・纳普顿,2013-05-01,光明日报出版社,16963条评论
72.,http://product.dangdang.com/23462090.html,我的第一本艺术书（全2册）,罗西・迪金斯,2014-05-01,光明日报出版社,4790条评论
73.,http://product.dangdang.com/23744240.html,儿童经典视觉启智绘本(全4册）,本信公久,2015-07-01,湖南少年儿童出版社,2369条评论
74.,http://product.dangdang.com/22623971.html,皮皮西西贴纸书（全20册，有N种玩法的欧洲品牌神奇贴纸书，欧洲引进护眼环保油墨印制，护眼无异味，附赠48页全彩《导读手册》+宝宝成长笔记本）（步印童书馆出品）,比利时,2014-01-12,   ,11593条评论
75.,http://product.dangdang.com/22757622.html,趣味脸谱绒布贴贴书系列（全套3册）,汉娜・威尔逊文,2012-05-01,   ,2881条评论
